"id_universitas","universitas","jenis_universitas","wilayah","provinsi","kode_prodi","nama_prodi","jenjang","daya_tampung_2024","peminat","portofolio"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111001","PENDIDIKAN DOKTER HEWAN","Sarjana","84","548","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111002","TEKNIK SIPIL","Sarjana","98","587","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111003","TEKNIK MESIN","Sarjana","42","231","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111004","TEKNIK KIMIA","Sarjana","56","155","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111005","ARSITEKTUR","Sarjana","56","296","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111006","TEKNIK ELEKTRO","Sarjana","56","224","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111007","AGROTEKNOLOGI","Sarjana","42","188","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111008","AGRIBISNIS","Sarjana","56","288","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111009","PETERNAKAN","Sarjana","42","131","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111010","TEKNOLOGI HASIL PERTANIAN","Sarjana","56","104","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111011","TEKNIK PERTANIAN","Sarjana","56","229","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111012","PENDIDIKAN BIOLOGI","Sarjana","56","169","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111013","PENDIDIKAN MATEMATIKA","Sarjana","56","161","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111014","PENDIDIKAN FISIKA","Sarjana","56","45","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111015","PENDIDIKAN KIMIA","Sarjana","42","46","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111016","PENDIDIKAN DOKTER","Sarjana","88","1971","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111017","ILMU KEPERAWATAN","Sarjana","126","1072","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111018","PENDIDIKAN DOKTER GIGI","Sarjana","35","946","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111019","MATEMATIKA","Sarjana","42","68","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111020","FISIKA","Sarjana","42","34","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111021","KIMIA","Sarjana","42","64","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111022","BIOLOGI","Sarjana","42","97","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111023","ILMU KELAUTAN","Sarjana","56","188","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111024","BUDIDAYA PERAIRAN","Sarjana","56","96","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111025","TEKNIK INDUSTRI","Sarjana","42","367","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111026","INFORMATIKA","Sarjana","42","1108","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111027","FARMASI","Sarjana","28","1439","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111028","TEKNIK GEOFISIKA","Sarjana","42","81","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111029","TEKNIK PERTAMBANGAN","Sarjana","42","641","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111030","STATISTIKA","Sarjana","42","250","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111031","PEMANFAATAN SUMBERDAYA PERIKANAN","Sarjana","42","80","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111032","ILMU TANAH","Sarjana","42","103","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111033","TEKNIK GEOLOGI","Sarjana","28","140","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111034","AGROTEKNOLOGI (PSDKU GAYO LUES)","Sarjana","14","25","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111035","PENDIDIKAN BIOLOGI (PDSKU GAYO LUES)","Sarjana","14","7","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111036","KEHUTANAN (PSDKU GAYO LUES)","Sarjana","21","28","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111037","PROTEKSI TANAMAN","Sarjana","28","61","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111038","PERENCANAAN WILAYAH DAN KOTA","Sarjana","42","340","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111039","KEHUTANAN","Sarjana","42","163","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111040","TEKNIK KOMPUTER","Sarjana","56","738","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111041","EKONOMI PEMBANGUNAN","Sarjana","56","378","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111042","MANAJEMEN","Sarjana","70","1232","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111043","AKUNTANSI","Sarjana","70","772","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111044","ILMU HUKUM","Sarjana","196","1345","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111045","PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN","Sarjana","49","237","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111046","PENDIDIKAN SEJARAH","Sarjana","42","162","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111047","PENDIDIKAN EKONOMI","Sarjana","56","137","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111048","PENDIDIKAN GEOGRAFI","Sarjana","56","106","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111049","PENDIDIKAN BAHASA INDONESIA","Sarjana","56","320","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111050","PENDIDIKAN BAHASA INGGRIS","Sarjana","56","361","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111051","PENDIDIKAN SENI DRAMA TARI DAN MUSIK","Sarjana","56","64","Sendratasik"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111052","PENDIDIKAN KESEJAHTERAAN KELUARGA","Sarjana","56","446","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111053","PENDIDIKAN JASMANI KESEHATAN DAN REKREASI","Sarjana","56","177","Pendidikan Jasmani dan Olahraga"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111054","BIMBINGAN KONSELING","Sarjana","42","592","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111055","PENDIDIKAN GURU SEKOLAH DASAR","Sarjana","70","827","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111056","PSIKOLOGI","Sarjana","28","800","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111057","ILMU POLITIK","Sarjana","56","222","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111058","SOSIOLOGI","Sarjana","56","204","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111059","ILMU KOMUNIKASI","Sarjana","63","723","Tidak Ada"
"111","UNIVERSITAS SYIAH KUALA","PTN AKADEMIK","SUMATERA","ACEH","111060","PENDIDIKAN GURU PAUD","Sarjana","49","333","Tidak Ada"
